AC | Ampla concorrência
EP | Candidato (s) que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública  e que não se autodeclararam negros.
EP | Candidatos Cota Social - Candidatos que frequentaram integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
EP | Candidatos EGRESSOS DE ESCOLAS PÚBLICAS (EP) - ENSINO FUNDAMENTAL E MÉDIO
EP | Candidatos egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com qualquer renda renda per capita bruta, devendo essa condição ser comprovada no ato da matrícula.
EP | Candidatos estudantes oriundos de Escolas Públicas integrantes da estrutura da Secretaria de Estado de Educação, unidade integrante do Governo do Estado ou Municípios, vinculadas pedagógica e administrativamente às respectivas Diretorias Regionais de Ensino
EP | Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em estabelecimentos da rede pública de ensino.
EP | Candidatos que tenham cursado integralmente o ensino médio em escolas públicas ou cursado integralmente o ensino médio em escolas privadas com bolsa de estudo integral, e que não tenham concluído curso de graduação.
EP | Candidatos que tenham cursado integralmente o Ensino Médio em escolas públicas;
EP | Candidatos que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública  e que não se autodeclararam negros.
EP | Candidatos que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que se autodeclararam negros.
EP | CANDIDATOS QUE TENHAM CURSADO, NA REDE PÚBLICA, OS ÚLTIMOS QUATRO ANOS DO ENSINO FUNDAMENTAL E TODO O ENSINO MÉDIO
EP | Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
EP | Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
EP | com procedência de no mínimo sete anos de estudos regulares ou que tenham realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil, compreendendo parte do ensino fundamental (6º ao 9º ano) e Ensino Médio  completo (incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente.
EP | Cota Social - Candidatos que frequentaram integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
EP | Cota Social - Egressos Escola Pública
EP | COTAS - Escolas Públicas -  Lei Estadual no 6.542, de 7 de dezembro de 2004
EP | demais de escola pública
EP | Demais Estudantes de Escola Pública
EP | EEP - Cota Social - Egressos Escola Pública
EP | EGRESSOS DE ESCOLAS PÚBLICAS (EP) - ENSINO FUNDAMENTAL E MÉDIO
EP | egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com qualquer renda renda per capita bruta, devendo essa condição ser comprovada no ato da matrícula.
EP | estudantes oriundos de Escolas Públicas integrantes da estrutura da Secretaria de Estado de Educação, unidade integrante do Governo do Estado ou Municípios, vinculadas pedagógica e administrativamente às respectivas Diretorias Regionais de Ensino
EP | L5 - Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
EP | que cursaram integralmente o Ensino Médio em Escola Pública/DEMAIS ESTUDANTES DE ESCOLA PÚBLICA
EP | que cursaram o Ensino Médio, integral e exclusivamente, em escola pública do Brasil, e que não tenham concluído curso de graduação
EP | que cursaram o Ensino Médio, integral e exclusivamente, em escola pública do Brasil, e que não tenham concluído curso de graduação (Vaga EP)
EP | que frequentaram integralmente as 4 (quatro) últimas séries do Ensino Fundamental e todas as séries do Ensino Médio em instituições públicas brasileiras de ensino.
EP | que frequentaram integralmente as 4 últimas séries do Ensino Fundamental e todas as séries do Ensino Médio em instituições públicas brasileiras de ensino.
EP | que independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas. (L3)
EP | que que tenham cursado todo o ensino médio e pelo menos quatro anos do Ensino Fundamental em escola pública
EP | que tenham cursado integral, exclusiva e regularmente os anos finais do Ensino Fundamental (6º ao 9º ano) e todo o Ensino Médio em escolas da rede pública estadual ou municipal, excluindo-se os candidatos que tenham concluído curso de nível superior ainda que pendente a colação de grau.
EP | que tenham cursado integralmente o ensino médio em escolas públicas ou cursado integralmente o ensino médio em escolas privadas com bolsa de estudo integral, e que não tenham concluído curso de graduação.
EP | que tenham cursado integralmente o ensino médio em escolas públicas, que não tenham se declarado pretos, pardos ou indígenas, nos termos da legislação, que não declarem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita.
EP | que tenham cursado integralmente o Ensino Médio em escolas públicas.
EP | que tenham cursado integralmente o Ensino Médio em Escolas Públicas;
EP | que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino ou tenham obtido certificado de conclusão com base no resultado do Exame Nacional do Ensino Médio, ENEM, ou do Exame Nacional de Certificação de Competências de Jovens e Adultos, ENCCEJA, ou de exames de certificação de competência ou de avaliação de jovens e adultos realizados pelos sistemas de ensino e não possuam curso superior concluído ou não estejam matriculados em curso superior.
EP | que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino ou tenham obtido certificado de conclusão com base no resultado do Exame Nacional do Ensino Médio, ENEM, ou do Exame Nacional de Certificação de Competências de Jovens e Adultos, ENCCEJA, ou de exames de certificação de competência ou de avaliação de jovens e adultos realizados pelos sistemas públicos de ensino e não possuam curso superior concluído ou em andamento e não estejam com matrícula trancada em curso superior.
EP | que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino ou tenham obtido certificado de conclusão com base no resultado do Exame Nacional do Ensino Médio, ENEM, ou do Exame Nacional de Certificação de Competências de Jovens e Adultos, ENCCEJA, ou de exames de certificação de competência ou de avaliação de jovens e adultos realizados pelos sistemas públicos de ensino e não possuam curso superior concluído ou não estejam matriculados em curso superior.
EP | que tenham cursado integralmente o Ensino Médio em instituições públicas e gratuitas de ensino
EP | que tenham cursado integralmente os ensinos fundamental e médio em escolas públicas do sistema educacional brasileiro
EP | que tenham cursado o ensino fundamental e médio integralmente em escola pública
EP | que tenham cursado parcialmente o ensino médio em escola pública (pelo menos um ano com aprovação) ou em escolas de direito privado sem fins lucrativos, cujo orçamento da instituição seja proveniente do poder público, em pelo menos 50%.
EP | que tenham cursado parcialmente o ensino médio em escola pública (pelo menos um ano com aprovação) ou em escolas de direito privado sem fins lucrativos, cujo orçamento da instituição seja proveniente do poder público, em pelo menos 50%. (A1)
EP | que tenham cursado todo o ensino médio e pelo menos dois anos do Ensino Fundamental II em escola pública
EP | que tenham cursado todo o ensino médio e pelo menos quatro anos do Ensino Fundamental em escola pública
EP | que tenham cursado todo o ensino médio e pelo menos quatro anos do Ensino Fundamental II em escola pública
INDIGENA + EP | Candidato (s) Indígenas que cursaram integralmente o Ensino Médio em escolas públicas
INDIGENA + EP | Candidatos autodeclarados indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
INDIGENA + EP | Candidatos autodeclarados indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
INDIGENA + EP | INDÍGENAS que cursaram integralmente o Ensino Médio em escolas públicas
INDIGENA + EP | pertencentes a povos indígenas aldeados, que tenham cursado integralmente o ensino médio em escolas públicas.
INDIGENA + EP | que cursaram integralmente o Ensino Médio em escola Pública/ESTUDANTES INDÍGENAS
INDIGENA + RENDA + EP | Candidatos autodeclarados indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
INDIGENA + RENDA + EP | Candidatos autodeclarados indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e  que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
INDIGENA + RENDA + EP | Candidatos IEEP - Indígena, de baixa renda, egresso de escola pública:
INDIGENA + RENDA + EP | Candidatos Indígenas que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
INDIGENA + RENDA + EP | Candidatos Indígenas, de baixa renda que sejam egressos de escola pública:
INDIGENA + RENDA + EP | Candidatos membros de grupos indígenas (aldeados) e que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)
INDIGENA + RENDA + EP | Categoria III - Candidatos declarados indígenas, de baixa renda e egressos de escola pública
INDIGENA + RENDA + EP | IEEP - Indígena, de baixa renda, egresso de escola pública
INDIGENA + RENDA + EP | IEEP - Indígena, de baixa renda, egresso de escola pública:
INDIGENA + RENDA + EP | indígenas que tenham cursado todo o 2º ciclo do ensino fundamental (5ª a 8ª séries) e todo o ensino médio, única e exclusivamente, em escola pública, que tenham renda bruta familiar mensal igual ou inferior a 04 salários mínimos e que tenham vinculação étnica comprovada por organização indígena devidamente reconhecida.
INDIGENA + RENDA | Candidato (s) economicamente hipossuficientes indígenas
INDIGENA | Candidato (s) indígena
INDIGENA | Candidato (s) Indígenas
INDIGENA | Candidatos indígenas
INDIGENA | Candidatos indígenas e que não tenham concluído curso de graduação.
INDIGENA | Estudantes Indígenas
INDIGENA | Indígenas
INDIGENA | indígenas aldeados
INDIGENA | indígenas e que não tenham concluído curso de graduação.
INDIGENA | indígenas, condição que deve ser comprovada mediante apresentação do RANI (Registro Administrativo de Nascimento de Indígena) ou declaração atestada pela FUNAI.
INDIGENA | indígenas, condição que deve ser comprovada mediante apresentação do RANI (Registro Administrativo de Nascimento de Indígena) ou declaração emitida por entidade de representação indígena. (A2)
INDIGENA | membros de grupos indígenas
INDIGENA/QUILOMBOLA + EP | Candidato (s) que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que sejam índios reconhecidos pela FUNAI ou moradores de comunidades remanescentes de quilombos registrados na Fundação Cultural Palmares.
INDIGENA/QUILOMBOLA + EP | Candidatos que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que sejam índios reconhecidos pela FUNAI ou moradores de comunidades remanescentes de quilombos registrados na Fundação Cultural Palmares.
PCD + EP | Candidatos com deficiência independentemente da condição acadêmica prévia declarada (pública ou privada)
PCD + EP | Candidatos com deficiência que cursaram todo o ensino médio em escola pública.
PCD + EP | Candidatos com deficiência que cursaram todo o ensino médio em escolas públicas.
PCD + EP | Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PCD + EP | Candidatos com deficiência, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PCD + EP | com deficiência oriundos da rede de ensino privada ou pública. Os candidatos oriundos da rede pública devem optar por concorrer à vaga desta ação afirmativa ou às  vagas reservadas para os grupos de cotas estabelecidos na Lei nº 12.711/2012, não sendo permitida aplicação cumulativa.
PCD + EP | com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PCD + EP | que cursaram integralmente o Ensino Médio em Escola Pública/ESTUDANTES COM DEFICIÊNCIA
PCD + EP | V3985: Candidatos com deficiência que, independentemente da renda, tenham cursado integralmente o Ensino Fundamental ou Ensino Médio, conforme o caso, em Escolas Públicas
PCD + EP | V3985: Candidatos com deficiência que, independentemente da renda, tenham cursado integralmente o Ensino médio em Escolas Públicas, no caso dos Cursos de Graduação.
PCD + EP | Vagas reservadas V3985: Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o Ensino Fundamental ou Médio, conforme o caso, em escolas públicas. (Lei nº 12.711/2012).
PCD + PRETO/PARDO + EP | Candidatos com deficiência autodeclarados pretos ou pardos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PCD + PRETO/PARDO + RENDA + EP | Candidatos com deficiência autodeclarados pretos ou pardos, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PCD + RENDA + EP | AF2: Pessoas com deficiência que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5);
PCD + RENDA + EP | Ação Afirmativa 2 - Pessoas com deficiência que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5);
PCD + RENDA + EP | Ação Afirmativa 2: 10% (dez por cento) para pessoas com deficiências que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita de até um salário-mínimo e meio (1,5).
PCD + RENDA + EP | Ação Afirmativa 2: Para pessoas com deficiências que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita mensal de até um salário-mínimo e meio (1,5).
PCD + RENDA + EP | Candidatos com Deficiência que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)
PCD + RENDA + EP | Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PCD + RENDA + EP | Candidatos com deficiência, que tenham renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)
PCD + RENDA + EP | Candidatos com deficiência, transtorno do espectro autista e altas habilidades que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
PCD + RENDA + EP | com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
PCD + RENDA + EP | com deficiência, transtorno do espectro autista e altas habilidades que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação.
PCD + RENDA | (s)  A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Pessoas Carentes Socioeconômicos e filhos de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço
PCD + RENDA | - Candidato (s) com deficiência, ou filhos de policiais civis, militares, bombeiros militares e inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica
PCD + RENDA | A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Carente Socioeconômico e filho (a) de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço
PCD + RENDA | A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Carente Socioeconômico e filho(a) de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço
PCD + RENDA | A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Pessoas Carentes Socioeconômicos e filhos de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço
PCD + RENDA | Candidatos A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Carente Socioeconômico e filho (a) de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço
PCD + RENDA | Candidatos A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Pessoas Carentes Socioeconômicos e filhos de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço
PCD + RENDA | com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica
PCD | - 5% das vagas destinadas a candidatos com deficiência com execeção das vagas do SISU.
PCD | autodeclarados Pessoa com Deficiência, cuja deficiência enquadre-se no prescrito pela Resolução nº 044/2021, observada a Lei Estadual nº 20.443/2020 (o candidato que se autodeclarar com deficiência não poderá ter curso superior concluído).
PCD | Candidato (s) com deficiência
PCD | Candidato (s) com deficiência.
PCD | Candidato (s) com necessidades educacionais especiais. Decreto nº 3298/99
PCD | Candidato (s) Pessoas com Deficiências - PCD
PCD | CANDIDATO COM DEFICIÊNCIA
PCD | Candidatos Candidato (s) com deficiência
PCD | Candidatos Candidatos Pessoa com Deficiência independentemente da sua condição acadêmica prévia declarada (pública ou privada)
PCD | Candidatos com deficiência
PCD | Candidatos com deficiência (ampla concorrência - Resolução nº 05/2017-CONSUP/IFRN)
PCD | Candidatos com deficiência e que não tenham concluído curso de graduação.
PCD | Candidatos com deficiência que concluíram o Ensino Médio, independente do percurso de formação;
PCD | Candidatos com deficiência, qualquer que seja a sua procedência escolar.
PCD | Candidatos com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial
PCD | Candidatos com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial.
PCD | Candidatos com deficiência:
PCD | Candidatos com necessidades educacionais específicas
PCD | Candidatos PD - Pessoa com deficiência:
PCD | Candidatos que comprovem serem pessoas com deficiência
PCD | Categoria VI - Pessoas com deficiência
PCD | com deficiência
PCD | com deficiência (Denominada A1)
PCD | com deficiência - PROAAF
PCD | com deficiência e que não tenham concluído curso de graduação.
PCD | com deficiência oriundos da rede de ensino privada ou pública. Os candidatos oriundos da rede pública devem optar por concorrer à vaga desta ação afirmativa ou às vagas reservadas para os grupos de cotas estabelecidos na Lei nº 12.711/2012, não sendo permitida aplicação cumulativa.
PCD | com deficiência PROAAf
PCD | com deficiência que concluíram o Ensino Médio, independente do percurso de formação.
PCD | com deficiência que concluíram o Ensino Médio, independente do percurso de formação;
PCD | com deficiência que cursaram todo o ensino médio em escola pública.
PCD | com Deficiência, independentemente da escola em que concluiu o Ensino Médio
PCD | com deficiência, oriundos de qualquer percurso escolar.
PCD | com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial
PCD | com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial.
PCD | com deficiência: será reservada uma vaga, por curso e turno, qualquer que seja a sua procedência escolar.
PCD | com deficiências (Denominada A1).
PCD | Cota para candidatos com deficiência
PCD | Estudantes com Deficiência
PCD | L15 - Candidatos com deficiência (ampla concorrência - Resolução nº 05/2017-CONSUP/IFRN
PCD | L15 - Candidatos Pessoa com Deficiência independentemente da sua condição acadêmica prévia declarada (pública ou privada)
PCD | PcD - Pessoa com Deficiência
PCD | PCD - Vagas para Portadores de Deficiência.
PCD | PD - Pessoa com deficiência
PCD | PD - Pessoa com deficiência:
PCD | Pessoa com Deficiência
PCD | Pessoa com Deficiência.
PCD | Pessoas com Deficiência
PCD | Pessoas com deficiência e transtornos globais do desenvolvimento (PCD)
PCD | Pessoas com deficiência, em conformidade com a Lei Estadual nº 20.443, de 17 de dezembro de 2020, que dispõe sobre o ingresso de pessoas com deficiência nas instituições estaduais de educação superior, e não tenham concluído curso superior.
PCD | Pessoas com deficiência, em conformidade com a Lei Estadual nº 20.443, de 17 de dezembro de 2020, que dispõe sobre o ingresso de pessoas portadoras de deficiência nas instituições estaduais de educação superior, e não tenham concluído curso superior.
PCD | que comprovem serem pessoas com deficiência
PCD | que comprovem serem pessoas com deficiência (PCD)
PCD | Reserva de vagas para candidatos com deficiência (PCD)
PCD | Será reservada uma vaga, por curso e turno, para candidatos com necessidades educacionais especiais.
PCD | V3394 - Candidato (s) com deficiência.
PCD | Vagas para PcD
PCD | Vagas para pessoas com deficiência - PcD P
PCD | ¿       CANDIDATOS COM DEFICIÊNCIA, OU FILHOS DE POLICIAIS CIVIS, MILITARES, BOMBEIROS MILITARES, INSPETORES DE SEGURANÇA E ADMINISTRAÇÃO PENITENCIÁRIA, MORTOS OU INCAPACITADOS EM RAZÃO DO SERVIÇO
PCD/SOLDADO + RENDA | A1 - Candidatos com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica
